exchange	symbol	date	stream	feature	delta_ms	h_ms	pressure_threshold	event_count	mean_abs_pressure	mean_signed_fwd_return_bps	t_stat	label
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	250	250	0.050000	96187	0.954874101826258	0.208940786471040	42.327574682513990	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	250	250	0.100000	95896	0.957537621185698	0.209394707118271	42.545438456873732	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	250	250	0.200000	95193	0.963538600763957	0.206307078153475	43.221039938861459	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	250	500	0.050000	96187	0.954874101826258	0.230605092355051	42.087347245878938	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	250	500	0.100000	95896	0.957537621185698	0.230604603620315	42.235147530342388	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	250	500	0.200000	95193	0.963538600763957	0.226357687578362	42.422136619465746	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	500	100	0.050000	95562	0.925490528741280	0.148780591909554	31.620314335932463	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	500	100	0.100000	95113	0.929501893912672	0.149764692351803	32.279619954782113	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	500	100	0.200000	93860	0.939951035352617	0.146751526891104	33.064494315148146	NO_EDGE
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	500	250	0.050000	95562	0.925490528741280	0.212019399074042	42.762459113637796	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	500	250	0.100000	95113	0.929501893912672	0.213518722593662	43.531442863098789	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	500	250	0.200000	93860	0.939951035352617	0.209167862991597	44.220055201972812	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	500	500	0.050000	95562	0.925490528741280	0.237441089574780	43.143624812919683	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	500	500	0.100000	95113	0.929501893912672	0.238015976345018	43.489200572657474	DIRECTIONAL
binance	avaxusdt	20260324	trade	signed_trade_volume_imbalance	500	500	0.200000	93860	0.939951035352617	0.230801862647520	43.489172336560188	DIRECTIONAL
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	100	100	0.050000	80528	0.975524365295040	0.048717892437047	10.439697240446247	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	100	100	0.100000	80358	0.977437498376575	0.047267328929162	10.246430475889611	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	100	100	0.200000	80047	0.980669775410681	0.047192988298992	10.494262006121444	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	100	250	0.050000	80528	0.975524365295040	0.088915273205153	17.323188468407281	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	100	250	0.100000	80358	0.977437498376575	0.087268154490450	17.268144643565286	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	100	250	0.200000	80047	0.980669775410681	0.085324038099063	17.231018907794979	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	100	500	0.050000	80528	0.975524365295040	0.119170517820116	21.163122712550848	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	100	500	0.100000	80358	0.977437498376575	0.117585523334911	21.101531574110357	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	100	500	0.200000	80047	0.980669775410681	0.114223084645815	20.802914537187405	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	250	100	0.050000	80191	0.958609167334074	0.068630416128391	14.650319372851470	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	250	100	0.100000	79991	0.960814048752280	0.068995068248795	14.873427164658384	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	250	100	0.200000	79464	0.966205596221338	0.067515818705177	15.063868830605070	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	250	250	0.050000	80191	0.958609167334074	0.110270912986135	21.346018830622995	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	250	250	0.100000	79991	0.960814048752280	0.111036015901363	21.603805087315553	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	250	250	0.200000	79464	0.966205596221338	0.111674808162903	22.381018053917817	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	250	500	0.050000	80191	0.958609167334074	0.149232373110585	26.446331468295089	NO_EDGE
binance	avaxusdt	20260325	trade	signed_trade_volume_imbalance	250	500	0.100000	79991	0.960814048752280	0.148310914791978	26.421503991274143	NO_EDGE
